date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	58.48	58.48	57.75	58.09	20646	EUR	
11/11/2010 00:00	58	58.2	57.36	57.54	12526	EUR	
12/11/2010 00:00	57.26	57.4	56.36	56.78	15470	EUR	
15/11/2010 00:00	56.82	57.39	56.7	57.22	5065	EUR	
16/11/2010 00:00	57.31	57.4	56.42	56.65	15477	EUR	
17/11/2010 00:00	56.58	56.68	56.29	56.5	10485	EUR	
18/11/2010 00:00	56.7	56.72	56.36	56.38	12784	EUR	
19/11/2010 00:00	56.37	57.05	56.36	57.05	12937	EUR	
22/11/2010 00:00	57.28	57.68	57.2	57.35	15592	EUR	
23/11/2010 00:00	57.31	57.99	56.68	56.68	18537	EUR	
24/11/2010 00:00	56.69	56.8	55.67	55.67	19081	EUR	
25/11/2010 00:00	55.56	55.56	52	54.99	37926	EUR	
26/11/2010 00:00	54.86	55.3	54.35	55	23148	EUR	
29/11/2010 00:00	55	55.35	54.06	54.3	13925	EUR	
30/11/2010 00:00	54.3	54.32	53.61	53.75	22457	EUR	
01/12/2010 00:00	53.95	54.18	53.61	54.1	15952	EUR	
02/12/2010 00:00	54.1	55.97	54.03	55.97	59438	EUR	
03/12/2010 00:00	55.57	58.22	55.57	57.25	40802	EUR	
06/12/2010 00:00	57.99	58	57.06	57.73	14260	EUR	
07/12/2010 00:00	58.11	59.18	57.61	58.72	23360	EUR	
08/12/2010 00:00	59.03	59.03	58.26	58.65	15356	EUR	
09/12/2010 00:00	58.52	61.5	58.52	61.25	57662	EUR	
10/12/2010 00:00	61.05	63	61.05	63	34981	EUR	
13/12/2010 00:00	62.8	62.95	62	62.65	20590	EUR	
14/12/2010 00:00	62.5	63	62.2	62.3	23172	EUR	
15/12/2010 00:00	62.3	62.55	61.51	61.87	18519	EUR	
16/12/2010 00:00	61.52	61.93	60.76	61.03	21967	EUR	
17/12/2010 00:00	60.93	62.01	60.62	61.95	26780	EUR	
20/12/2010 00:00	61.77	63	61.56	62.83	30726	EUR	
21/12/2010 00:00	62.68	62.89	62.2	62.89	16202	EUR	
22/12/2010 00:00	62.76	62.95	61.11	62.41	45652	EUR	
23/12/2010 00:00	62.02	62.45	61.6	61.75	9456	EUR	
24/12/2010 00:00	61.53	61.69	60.76	61	5238	EUR	
27/12/2010 00:00	60.76	61	60.62	60.66	6032	EUR	
28/12/2010 00:00	60.62	61	60.62	60.62	5311	EUR	
29/12/2010 00:00	60.7	61.35	60.7	61.35	3647	EUR	
30/12/2010 00:00	61.5	61.74	61.17	61.74	4153	EUR	
31/12/2010 00:00	61.74	62.5	61.52	62.5	9920	EUR	
03/01/2011 00:00	62.78	62.78	61.84	62.4	15698	EUR	
04/01/2011 00:00	62.26	62.39	61.82	62.16	18275	EUR	
05/01/2011 00:00	62	62.53	61.86	62.45	18673	EUR	
06/01/2011 00:00	62.26	62.89	62.26	62.5	20636	EUR	
07/01/2011 00:00	62.5	62.5	62.1	62.21	20311	EUR	
10/01/2011 00:00	62.1	62.16	61.51	61.8	23128	EUR	
11/01/2011 00:00	62	62	61.35	61.61	29020	EUR	
12/01/2011 00:00	61.61	62.74	61.61	61.93	28008	EUR	
13/01/2011 00:00	62	62	61.64	61.99	5576	EUR	
14/01/2011 00:00	61.7	62.03	61.7	62	6186	EUR	
17/01/2011 00:00	61.86	61.86	61.26	61.5	11178	EUR	
18/01/2011 00:00	61.26	61.8	61.26	61.8	16437	EUR	
19/01/2011 00:00	61.5	62	60.76	62	57657	EUR	
20/01/2011 00:00	61.95	62	59.78	60	28602	EUR	
21/01/2011 00:00	60	60.4	59.76	60.2	27374	EUR	
24/01/2011 00:00	60.48	60.7	60.21	60.47	19225	EUR	
25/01/2011 00:00	60.45	60.69	59.9	60.04	17690	EUR	
26/01/2011 00:00	60	60	57.75	58.34	71298	EUR	
27/01/2011 00:00	58.37	58.57	56.6	57.93	38752	EUR	
28/01/2011 00:00	57.86	57.94	57.3	57.7	46540	EUR	
31/01/2011 00:00	57.61	57.61	54.83	55.6	65705	EUR	
01/02/2011 00:00	55.98	57.12	55.61	57.12	80858	EUR	
02/02/2011 00:00	57.29	58.17	57.01	57.23	23069	EUR	
03/02/2011 00:00	57.11	57.15	56.51	56.56	26581	EUR	
04/02/2011 00:00	56.75	56.86	56.06	56.06	35651	EUR	
07/02/2011 00:00	56.06	56.92	55.99	56.92	31583	EUR	
08/02/2011 00:00	56.94	58.05	56.88	58	25395	EUR	
09/02/2011 00:00	58.18	58.92	58.17	58.54	30590	EUR	
10/02/2011 00:00	58.66	58.84	57.9	58.13	17647	EUR	
11/02/2011 00:00	58.19	58.8	57.98	58.5	25448	EUR	
14/02/2011 00:00	58.74	59	58.21	58.99	19654	EUR	
15/02/2011 00:00	58.53	59.24	58.53	59.18	18194	EUR	
16/02/2011 00:00	59.25	59.35	59.02	59.2	39250	EUR	
17/02/2011 00:00	59.35	59.4	59.24	59.4	9217	EUR	
18/02/2011 00:00	59.45	60.5	59.45	60.5	36460	EUR	
21/02/2011 00:00	60.24	61.85	60.24	61.61	40615	EUR	
22/02/2011 00:00	61.51	61.51	60	61.06	27776	EUR	
23/02/2011 00:00	61.06	61.19	60.57	60.7	30044	EUR	
24/02/2011 00:00	60.52	60.54	59.81	60.01	11211	EUR	
25/02/2011 00:00	59.97	61.22	59.97	61.22	10789	EUR	
28/02/2011 00:00	61.25	61.98	60.81	61.54	28480	EUR	
01/03/2011 00:00	61.65	62.1	61.51	62	33657	EUR	
02/03/2011 00:00	61.76	62.02	61.01	61.76	23083	EUR	
03/03/2011 00:00	61.36	62.15	61	61.45	102933	EUR	
04/03/2011 00:00	61.45	61.65	61.02	61.19	21041	EUR	
07/03/2011 00:00	61.3	61.6	60.82	61.31	7699	EUR	
08/03/2011 00:00	61.3	61.3	60.76	61.26	14014	EUR	
09/03/2011 00:00	61.3	61.47	61.02	61.26	12590	EUR	
10/03/2011 00:00	61.2	61.25	61	61.16	30076	EUR	
11/03/2011 00:00	61.05	61.05	59.93	59.93	19298	EUR	
14/03/2011 00:00	59.76	59.9	58.81	58.81	18228	EUR	
15/03/2011 00:00	58.76	59.17	57.77	58.65	50551	EUR	
16/03/2011 00:00	58.51	58.75	58.01	58.21	14635	EUR	
17/03/2011 00:00	58.23	58.54	58	58.43	19866	EUR	
18/03/2011 00:00	58.67	59.49	58.67	59.48	33872	EUR	
21/03/2011 00:00	59.49	60.18	59.48	60.05	10891	EUR	
22/03/2011 00:00	59.89	60.19	59.81	59.99	37197	EUR	
23/03/2011 00:00	59.9	60.74	59.81	60.6	15626	EUR	
24/03/2011 00:00	60.5	61.49	60.18	61.37	17109	EUR	
25/03/2011 00:00	61.49	62	61.29	61.58	24612	EUR	
28/03/2011 00:00	61.28	61.86	61.28	61.32	15229	EUR	
29/03/2011 00:00	61.3	61.33	60.38	60.72	13696	EUR	
30/03/2011 00:00	60.74	60.99	60.01	60.3	16596	EUR	
31/03/2011 00:00	60.26	60.49	58.7	60.01	25879	EUR	
01/04/2011 00:00	60.2	60.2	59.78	60.2	19955	EUR	
04/04/2011 00:00	60.24	60.5	59.95	60.1	38295	EUR	
05/04/2011 00:00	60.25	60.25	59.65	60.01	12268	EUR	
06/04/2011 00:00	59.96	60.2	59.3	59.92	9926	EUR	
07/04/2011 00:00	60.14	60.2	59.55	59.88	9109	EUR	
08/04/2011 00:00	59.9	60.49	59.67	60.2	28277	EUR	
11/04/2011 00:00	60.07	60.24	59.6	59.67	11527	EUR	
12/04/2011 00:00	59.61	59.61	58.77	59.57	37536	EUR	
13/04/2011 00:00	59.61	59.84	59.3	59.7	47352	EUR	
14/04/2011 00:00	59.73	59.73	59.35	59.56	9880	EUR	
15/04/2011 00:00	59.31	60.08	59.31	59.87	20624	EUR	
18/04/2011 00:00	60.08	60.08	59.02	59.42	5931	EUR	
19/04/2011 00:00	59.5	59.74	59.4	59.6	6903	EUR	
20/04/2011 00:00	59.74	60.72	59.74	60.5	25566	EUR	
21/04/2011 00:00	60.95	60.95	60.26	60.5	122461	EUR	
26/04/2011 00:00	60.6	61	60.27	60.76	20017	EUR	
27/04/2011 00:00	60.95	61.25	60.57	60.72	11534	EUR	
28/04/2011 00:00	60.9	61.14	60.8	61.09	53679	EUR	
29/04/2011 00:00	61.1	61.63	61.06	61.63	12113	EUR	
02/05/2011 00:00	61.7	62.07	61.63	61.9	42735	EUR	
03/05/2011 00:00	61.96	61.96	61.29	61.5	26573	EUR	
04/05/2011 00:00	61.82	61.82	61.2	61.51	38460	EUR	
05/05/2011 00:00	61.82	61.82	60.52	60.6	13609	EUR	
06/05/2011 00:00	60.54	61.16	60.3	60.81	22672	EUR	
09/05/2011 00:00	60.51	60.99	60.51	60.82	6281	EUR	
10/05/2011 00:00	59.61	60.19	59.4	59.95	56954	EUR	
11/05/2011 00:00	60.09	60.09	59.95	59.99	33953	EUR	
12/05/2011 00:00	59.9	59.91	59.26	59.51	13105	EUR	
13/05/2011 00:00	59.42	59.68	59.11	59.15	23082	EUR	
16/05/2011 00:00	59.3	59.3	58.76	58.9	74936	EUR	
17/05/2011 00:00	58.85	59.13	58.51	58.8	18346	EUR	
18/05/2011 00:00	58.95	59.14	58.27	58.48	11953	EUR	
19/05/2011 00:00	58.72	58.99	58.29	58.57	20277	EUR	
20/05/2011 00:00	58.68	58.68	58.35	58.49	9962	EUR	
23/05/2011 00:00	58.22	58.35	57.81	57.81	11141	EUR	
24/05/2011 00:00	58.02	58.19	57.96	58	12361	EUR	
25/05/2011 00:00	57.97	58.49	57.96	58.05	11623	EUR	
26/05/2011 00:00	58.21	58.77	58.05	58.5	86275	EUR	
27/05/2011 00:00	58.66	58.93	58.2	58.26	9548	EUR	
30/05/2011 00:00	58.2	58.97	58.2	58.57	9995	EUR	
31/05/2011 00:00	58.76	59.17	58.76	59.17	14606	EUR	
01/06/2011 00:00	59	59.2	58.76	58.88	10735	EUR	
02/06/2011 00:00	58.74	58.74	58.21	58.29	11559	EUR	
03/06/2011 00:00	58.21	58.99	58.21	58.59	13816	EUR	
06/06/2011 00:00	58.41	58.71	58.22	58.29	10959	EUR	
07/06/2011 00:00	58.36	58.46	58.23	58.3	8428	EUR	
08/06/2011 00:00	58.21	58.42	57.71	57.85	43510	EUR	
09/06/2011 00:00	57.77	58.48	57.75	58.28	9008	EUR	
10/06/2011 00:00	58.25	58.49	57.91	58	28108	EUR	
13/06/2011 00:00	58	58	57.56	57.84	8042	EUR	
14/06/2011 00:00	58	58.17	57.86	58.04	6323	EUR	
15/06/2011 00:00	58	58	57.28	57.5	9740	EUR	
16/06/2011 00:00	57.37	58.04	56.52	57.91	26690	EUR	
17/06/2011 00:00	57.8	57.82	57.31	57.44	10309	EUR	
20/06/2011 00:00	57.31	57.48	56.66	56.96	8141	EUR	
21/06/2011 00:00	57.01	57.78	56.88	57.78	13989	EUR	
22/06/2011 00:00	57.57	57.86	57.28	57.6	8812	EUR	
23/06/2011 00:00	57.6	58	57.01	57.6	67853	EUR	
24/06/2011 00:00	57.82	58	57.53	57.75	17952	EUR	
27/06/2011 00:00	57.74	58.05	57.56	57.59	15738	EUR	
28/06/2011 00:00	57.83	57.9	57.28	57.4	9017	EUR	
29/06/2011 00:00	57.78	57.99	57.47	57.8	26001	EUR	
30/06/2011 00:00	57.88	58	57.75	57.91	10314	EUR	
01/07/2011 00:00	57.87	58	57.78	57.89	21509	EUR	
04/07/2011 00:00	58	58.16	57.76	57.83	15899	EUR	
05/07/2011 00:00	57.85	57.9	57.52	57.8	7165	EUR	
06/07/2011 00:00	57.91	57.97	57.01	57.41	10951	EUR	
07/07/2011 00:00	57.37	57.54	57.06	57.35	11022	EUR	
08/07/2011 00:00	57.61	57.82	56.38	56.69	14530	EUR	
11/07/2011 00:00	56.84	56.85	54.01	55.29	31378	EUR	
12/07/2011 00:00	54.99	55.16	52.48	54.5	45444	EUR	
13/07/2011 00:00	54.6	55.39	54.3	54.6	23434	EUR	
14/07/2011 00:00	54.5	54.6	53.52	53.59	5706	EUR	
15/07/2011 00:00	53.68	53.8	53.2	53.65	19571	EUR	
18/07/2011 00:00	53.53	53.79	52.82	53.2	23122	EUR	
19/07/2011 00:00	53.21	54.25	53.21	53.8	20733	EUR	
20/07/2011 00:00	53.94	54.5	53.63	54	17282	EUR	
21/07/2011 00:00	54.24	54.27	53.15	53.85	35566	EUR	
22/07/2011 00:00	53.97	54.45	53.32	53.32	19393	EUR	
25/07/2011 00:00	53.5	53.5	52.84	52.84	16067	EUR	
26/07/2011 00:00	52.94	53.41	52.82	52.97	9732	EUR	
27/07/2011 00:00	52.95	52.97	52.29	52.31	10499	EUR	
28/07/2011 00:00	52.26	52.26	51.8	51.94	9383	EUR	
29/07/2011 00:00	51.76	52	51.01	51.5	19302	EUR	
01/08/2011 00:00	51.68	52.1	49.22	51.5	27618	EUR	
02/08/2011 00:00	51	51	48.54	48.54	25497	EUR	
03/08/2011 00:00	48.54	48.545	47.69	48	37453	EUR	
04/08/2011 00:00	48.415	48.5	46.63	46.63	36277	EUR	
05/08/2011 00:00	44.52	48.495	44.11	46.82	91821	EUR	
08/08/2011 00:00	45.51	47.31	45.51	45.62	73886	EUR	
09/08/2011 00:00	45.21	46.07	44.57	45.38	54870	EUR	
10/08/2011 00:00	46	46.49	44.39	44.42	33488	EUR	
11/08/2011 00:00	45.34	46	44	45.55	35861	EUR	
12/08/2011 00:00	45.735	46.94	45.105	46.595	64754	EUR	
15/08/2011 00:00	47	48.155	46.81	47.51	21443	EUR	
16/08/2011 00:00	47.42	47.42	46.58	46.73	20285	EUR	
17/08/2011 00:00	46.79	47	46.17	46.695	11654	EUR	
18/08/2011 00:00	46.635	46.635	45.2	45.8	40920	EUR	
19/08/2011 00:00	45.8	46.37	44.98	45.555	33258	EUR	
22/08/2011 00:00	45.53	46.3	45.005	45.96	23373	EUR	
23/08/2011 00:00	46.25	46.48	45.715	46	21598	EUR	
24/08/2011 00:00	46.22	47.28	46.22	46.85	22758	EUR	
25/08/2011 00:00	47.05	48	47.015	47.33	28662	EUR	
26/08/2011 00:00	47.33	47.84	47.05	47.655	16884	EUR	
29/08/2011 00:00	48	49	47.79	48.735	8646	EUR	
30/08/2011 00:00	48.83	49.485	48.6	49.005	15435	EUR	
31/08/2011 00:00	48.855	49.75	48.855	49.57	26969	EUR	
01/09/2011 00:00	49.81	50.22	49.265	49.9	24994	EUR	
02/09/2011 00:00	49.76	50.41	49.47	49.92	28009	EUR	
05/09/2011 00:00	49.755	49.755	48.54	48.595	75802	EUR	
06/09/2011 00:00	48.6	49.165	48.6	48.705	26976	EUR	
07/09/2011 00:00	48.97	49.32	48.895	49.16	36765	EUR	
08/09/2011 00:00	49.11	49.74	49.11	49.415	27844	EUR	
09/09/2011 00:00	49.33	49.415	48.26	49	40818	EUR	
12/09/2011 00:00	48	48	46.19	46.58	36366	EUR	
13/09/2011 00:00	46.74	46.74	45.6	46	45015	EUR	
14/09/2011 00:00	45.925	47.23	45.775	46.8	34856	EUR	
15/09/2011 00:00	46.96	48.845	46.96	47.78	33497	EUR	
16/09/2011 00:00	47.835	48.71	47.51	48.415	23007	EUR	
19/09/2011 00:00	47.515	48.065	47.51	48.01	11790	EUR	
20/09/2011 00:00	48.01	48.36	47.595	48	11944	EUR	
21/09/2011 00:00	48	48.14	47.01	47.655	16840	EUR	
22/09/2011 00:00	46.31	46.64	45.9	46.25	33065	EUR	
23/09/2011 00:00	46.06	46.86	46.06	46.86	20467	EUR	
26/09/2011 00:00	46.435	47.56	46.12	47.18	14825	EUR	
27/09/2011 00:00	47.445	48.5	47.445	48.295	25442	EUR	
28/09/2011 00:00	47.635	48.37	47.635	48.37	11410	EUR	
29/09/2011 00:00	48.29	48.995	48.105	48.955	118052	EUR	
30/09/2011 00:00	48.98	48.98	48.4	48.945	26885	EUR	
03/10/2011 00:00	48.465	48.635	47.755	48.2	45017	EUR	
04/10/2011 00:00	48.01	48.015	46.605	46.78	39538	EUR	
05/10/2011 00:00	46.98	47.17	46.8	46.93	47158	EUR	
06/10/2011 00:00	47	47.7	47	47.16	54918	EUR	
07/10/2011 00:00	47	47.29	46.84	46.99	84885	EUR	
10/10/2011 00:00	47.2	47.485	47	47.3	19705	EUR	
11/10/2011 00:00	47.47	47.47	46.875	47	23052	EUR	
12/10/2011 00:00	46.8	47.22	46.79	47	47000	EUR	
13/10/2011 00:00	47	47.265	46.715	47.14	13517	EUR	
14/10/2011 00:00	47.4	47.895	47.3	47.495	25414	EUR	
17/10/2011 00:00	47.335	47.98	46.31	46.705	12132	EUR	
18/10/2011 00:00	46.56	46.56	45.725	46.165	16780	EUR	
19/10/2011 00:00	46.015	46.555	45.845	46.06	12384	EUR	
20/10/2011 00:00	46.06	46.275	45.76	45.95	16989	EUR	
21/10/2011 00:00	45.895	46.795	45.765	46.795	18037	EUR	
24/10/2011 00:00	46.845	47.6	46.56	47.515	10612	EUR	
25/10/2011 00:00	47.55	47.595	46.65	47.24	6688	EUR	
26/10/2011 00:00	47.01	47.7	47.01	47.24	20919	EUR	
27/10/2011 00:00	47.6	48.54	47.21	48.335	36784	EUR	
28/10/2011 00:00	48.52	49	48.075	48.155	17230	EUR	
31/10/2011 00:00	48.05	48.355	47.285	47.285	12499	EUR	
01/11/2011 00:00	47.105	47.2	46.265	46.8	26832	EUR	
02/11/2011 00:00	46.885	47.25	46.225	46.3	10111	EUR	
03/11/2011 00:00	46.18	46.54	45.995	46.29	20557	EUR	
04/11/2011 00:00	45.74	46.755	45.01	46.5	14063	EUR	
07/11/2011 00:00	46.26	46.34	45.405	45.64	31258	EUR	
08/11/2011 00:00	45.595	45.595	44.7	44.7	28834	EUR	
09/11/2011 00:00	44.74	44.8	42.005	42.2	45946	EUR	
10/11/2011 00:00	41.94	42.41	41.005	41.27	39985	EUR	
11/11/2011 00:00	41.49	41.72	41.015	41.57	7604	EUR	
14/11/2011 00:00	41.995	41.995	41.035	41.22	7118	EUR	
15/11/2011 00:00	41.105	41.275	40.475	40.525	19260	EUR	
16/11/2011 00:00	40.6	40.71	39.325	40.19	23805	EUR	
17/11/2011 00:00	39.905	40.085	39.175	39.8	29635	EUR	
18/11/2011 00:00	39.6	40.305	39.55	39.7	22073	EUR	
21/11/2011 00:00	39.68	39.68	38.41	38.965	41977	EUR	
22/11/2011 00:00	38.85	39.28	38.69	39.1	30247	EUR	
23/11/2011 00:00	38.665	39.36	38.665	38.87	19352	EUR	
24/11/2011 00:00	38.795	39.555	38.26	38.675	10210	EUR	
25/11/2011 00:00	38.7	39.325	37.065	37.26	33460	EUR	
28/11/2011 00:00	37.5	39.835	37.5	39.8	15852	EUR	
29/11/2011 00:00	39.85	39.86	38.555	39.605	14529	EUR	
30/11/2011 00:00	39.47	40.7	39.4	40.41	25411	EUR	
01/12/2011 00:00	40.45	40.685	40.32	40.56	33867	EUR	
02/12/2011 00:00	40.74	41.91	40.74	41.155	12396	EUR	
05/12/2011 00:00	41.085	42.13	41.06	41.995	18134	EUR	
06/12/2011 00:00	41.61	42.08	41.19	42.075	18311	EUR	
07/12/2011 00:00	42.1	42.75	41.91	42.335	25421	EUR	
08/12/2011 00:00	42.325	42.545	42.02	42.06	25979	EUR	
09/12/2011 00:00	42.01	42.485	41.8	42.485	32808	EUR	
12/12/2011 00:00	42.43	42.43	41.655	41.715	20838	EUR	
13/12/2011 00:00	41.9	42.2	41.745	41.925	10669	EUR	
14/12/2011 00:00	41.655	42.06	41.155	41.6	28545	EUR	
15/12/2011 00:00	41.51	41.965	41.51	41.91	17465	EUR	
16/12/2011 00:00	41.915	42.2	41.65	41.9	13581	EUR	
19/12/2011 00:00	41.8	42.255	41.62	41.865	57465	EUR	
20/12/2011 00:00	41.865	42	41.595	41.91	48253	EUR	
21/12/2011 00:00	42.3	42.99	42.125	42.195	12890	EUR	
22/12/2011 00:00	42.26	42.93	42.11	42.195	19621	EUR	
23/12/2011 00:00	42.32	43.895	42.32	43.895	32417	EUR	
27/12/2011 00:00	43.56	43.89	43.56	43.74	4938	EUR	
28/12/2011 00:00	43.74	43.935	43.6	43.935	4548	EUR	
29/12/2011 00:00	43.94	44	43.65	44	4236	EUR	
30/12/2011 00:00	44	44.205	43.91	44.205	5277	EUR	
02/01/2012 00:00	44.5	45.47	44.13	45.47	6469	EUR	
03/01/2012 00:00	45.26	45.265	44.58	45	14434	EUR	
04/01/2012 00:00	45	45	44.1	44.1	7039	EUR	
05/01/2012 00:00	44.22	44.22	43.67	43.8	9299	EUR	
06/01/2012 00:00	43.76	43.98	43.52	43.825	5856	EUR	
09/01/2012 00:00	43.76	43.99	43.145	43.22	4280	EUR	
10/01/2012 00:00	43.35	43.805	43.26	43.73	10026	EUR	
11/01/2012 00:00	43.87	44.24	43.665	44.24	23059	EUR	
12/01/2012 00:00	44.15	45.175	44.005	44.97	9575	EUR	
13/01/2012 00:00	45.25	45.25	44.51	44.51	7376	EUR	
16/01/2012 00:00	44.84	44.99	44.26	44.8	6718	EUR	
17/01/2012 00:00	44.8	44.91	43.76	44.2	40687	EUR	
18/01/2012 00:00	44.25	44.47	43.55	43.555	14486	EUR	
19/01/2012 00:00	43.77	44.75	43.585	44.25	24908	EUR	
20/01/2012 00:00	44.29	44.735	44.26	44.39	21016	EUR	
23/01/2012 00:00	44.39	44.89	44.31	44.67	11363	EUR	
24/01/2012 00:00	44.555	44.755	44.315	44.47	54711	EUR	
25/01/2012 00:00	44.505	44.89	44.11	44.31	11148	EUR	
26/01/2012 00:00	44.295	45.7	44.295	45.26	16787	EUR	
27/01/2012 00:00	45.07	45.99	45.02	45.62	14176	EUR	
30/01/2012 00:00	45.85	46.7	45.4	45.51	25329	EUR	
31/01/2012 00:00	46	46.74	45.975	46.28	36633	EUR	
01/02/2012 00:00	46.265	46.845	46.005	46.8	16172	EUR	
02/02/2012 00:00	46.8	47.165	46.75	46.75	19540	EUR	
03/02/2012 00:00	46.99	48.225	46.51	47.955	43012	EUR	
06/02/2012 00:00	48.605	48.605	48.005	48.45	22391	EUR	
07/02/2012 00:00	48.27	48.6	48	48.495	21627	EUR	
08/02/2012 00:00	48.6	48.74	48	48.16	36833	EUR	
09/02/2012 00:00	48.15	48.59	48	48.2	20673	EUR	
10/02/2012 00:00	48.005	48.25	47.755	48	10321	EUR	
13/02/2012 00:00	48.105	48.46	48.005	48.14	5852	EUR	
14/02/2012 00:00	48.14	48.52	48	48.37	21333	EUR	
15/02/2012 00:00	48.55	49.145	48.2	48.2	29436	EUR	
16/02/2012 00:00	48.125	48.695	47.905	48.305	14799	EUR	
17/02/2012 00:00	48.515	50.25	48.445	49.815	29571	EUR	
20/02/2012 00:00	49.83	50.44	49.515	50.28	25415	EUR	
21/02/2012 00:00	50.2	50.66	50.1	50.2	18755	EUR	
22/02/2012 00:00	50.2	50.5	49.76	50	16231	EUR	
23/02/2012 00:00	50	50.24	49.8	50	12330	EUR	
24/02/2012 00:00	50	50.47	50	50.39	4429	EUR	
27/02/2012 00:00	50.25	50.49	50.02	50.35	4495	EUR	
28/02/2012 00:00	50.28	50.74	50.26	50.29	9489	EUR	
29/02/2012 00:00	50.35	51	50.35	50.95	19398	EUR	
01/03/2012 00:00	50.99	51.79	50.79	51.78	10650	EUR	
02/03/2012 00:00	51.94	52.36	51.57	52.32	11340	EUR	
05/03/2012 00:00	52.35	52.35	51.53	51.75	7663	EUR	
06/03/2012 00:00	51.51	51.51	49.8	49.865	11562	EUR	
07/03/2012 00:00	49.8	51.1	49.8	50.18	19047	EUR	
08/03/2012 00:00	50.29	51.35	50.29	51.14	11042	EUR	
09/03/2012 00:00	51.49	51.6	50.97	51.22	6099	EUR	
12/03/2012 00:00	51.2	51.69	51.2	51.32	6318	EUR	
13/03/2012 00:00	51	51.73	49.8	51.65	28035	EUR	
14/03/2012 00:00	52	52.48	51.8	52.48	11044	EUR	
15/03/2012 00:00	52.35	52.99	52.14	52.56	9828	EUR	
16/03/2012 00:00	52.41	52.74	52.05	52.51	11155	EUR	
19/03/2012 00:00	51.76	52.5	51.26	51.59	18303	EUR	
20/03/2012 00:00	51.51	51.51	50.76	50.9	21083	EUR	
21/03/2012 00:00	50.85	51.13	50.75	50.97	8233	EUR	
22/03/2012 00:00	51	51	49.76	49.875	23201	EUR	
23/03/2012 00:00	50.12	50.76	50.01	50.17	8443	EUR	
26/03/2012 00:00	50.44	50.77	49.8	50.65	21240	EUR	
27/03/2012 00:00	50.62	50.78	50.28	50.5	18308	EUR	
28/03/2012 00:00	50.42	50.99	50.42	50.42	13023	EUR	
29/03/2012 00:00	50.45	50.74	49.76	49.91	9326	EUR	
30/03/2012 00:00	49.775	50.16	49.51	49.805	24966	EUR	
02/04/2012 00:00	50	50.5	48.82	49.63	16212	EUR	
03/04/2012 00:00	49.51	49.78	49.06	49.06	5261	EUR	
04/04/2012 00:00	49.005	49.005	47.54	47.75	16821	EUR	
05/04/2012 00:00	47.625	48.4	47.02	47.435	11731	EUR	
10/04/2012 00:00	47.11	47.11	46.2	46.2	13020	EUR	
11/04/2012 00:00	46.11	46.23	45.51	46	19887	EUR	
12/04/2012 00:00	46	46.235	44.71	45.05	24438	EUR	
13/04/2012 00:00	45.005	45.48	44.34	44.34	20981	EUR	
16/04/2012 00:00	44.335	45.135	43.52	43.905	31981	EUR	
17/04/2012 00:00	43.76	44.74	43.76	44.74	16981	EUR	
18/04/2012 00:00	44.825	44.905	44	44.15	14984	EUR	
19/04/2012 00:00	44.345	44.995	43.005	43.2	20778	EUR	
20/04/2012 00:00	43.2	43.88	42.93	43.55	21278	EUR	
23/04/2012 00:00	43.26	43.26	42.51	42.825	25417	EUR	
24/04/2012 00:00	43.84	43.84	42.215	42.72	20128	EUR	
25/04/2012 00:00	42.69	43.48	42.69	43.385	15693	EUR	
26/04/2012 00:00	43.525	43.555	42.51	43.225	9166	EUR	
27/04/2012 00:00	43.005	43.74	43	43.6	7378	EUR	
30/04/2012 00:00	43.65	43.81	43.005	43.44	8628	EUR	
02/05/2012 00:00	43.81	44.09	43.075	43.8	32065	EUR	
03/05/2012 00:00	43.275	43.7	42	43	24419	EUR	
04/05/2012 00:00	43	43.2	42.52	42.6	31154	EUR	
07/05/2012 00:00	42.53	43.775	42.26	43.45	28990	EUR	
08/05/2012 00:00	42.48	43.105	41.805	42.21	22254	EUR	
09/05/2012 00:00	41.505	42.7	41.505	41.835	20755	EUR	
10/05/2012 00:00	41.88	42.48	41.55	42.48	12658	EUR	
11/05/2012 00:00	42.4	42.74	42.02	42.64	20463	EUR	
14/05/2012 00:00	42.35	43	42.35	42.82	19852	EUR	
15/05/2012 00:00	42.925	43.07	42.77	42.975	23616	EUR	
16/05/2012 00:00	42.85	43.425	42.55	42.875	15251	EUR	
17/05/2012 00:00	42.9	43.09	42.69	43	21321	EUR	
18/05/2012 00:00	42.87	43.11	42.55	42.865	32728	EUR	
21/05/2012 00:00	42.92	43.215	42.63	43	10270	EUR	
22/05/2012 00:00	43.225	43.49	42.8	43.335	32633	EUR	
23/05/2012 00:00	43.005	43.01	42.655	43	14450	EUR	
24/05/2012 00:00	43	43.36	42.76	42.76	10463	EUR	
25/05/2012 00:00	42.99	43.13	42.705	42.89	17051	EUR	
28/05/2012 00:00	43	43.235	42.705	42.705	6058	EUR	
29/05/2012 00:00	42.73	42.945	42.02	42.3	15075	EUR	
30/05/2012 00:00	42.295	42.295	41.56	41.56	19527	EUR	
31/05/2012 00:00	41.585	42.07	41.495	41.795	23108	EUR	
01/06/2012 00:00	41.8	41.8	40.505	40.825	10155	EUR	
04/06/2012 00:00	40.945	41.125	40.555	40.875	7098	EUR	
05/06/2012 00:00	40.76	40.885	40.26	40.54	6822	EUR	
06/06/2012 00:00	40.51	41	40.51	40.75	13158	EUR	
